levelCode,week,addTime,color,city,level,cityCode,levelMsg,eletype,elenum,uploadUserName,createDate
-1,星期六,2023-04-08,#C4A39F,北京,暂无,beijing,,花粉,,,
-1,星期五,2023-04-07,#C4A39F,北京,偏高,beijing,,花粉,1.0,北京,2023-04-07T13:01:48
-1,星期四,2023-04-06,#C4A39F,北京,偏高,beijing,,花粉,1.0,北京,2023-04-06T09:09:32
5,星期三,2023-04-05,#FF2319,北京,很高,beijing,极易引发过敏，减少外出，持续规范用药。,花粉,1.0,北京,2023-04-05T08:18:06
5,星期二,2023-04-04,#FF2319,北京,很高,beijing,极易引发过敏，减少外出，持续规范用药。,花粉,1.0,北京,2023-04-04T08:11:18
5,星期一,2023-04-03,#FF2319,北京,很高,beijing,极易引发过敏，减少外出，持续规范用药。,花粉,1.0,北京,2023-04-03T08:40:49
5,星期日,2023-04-02,#FF2319,北京,很高,beijing,极易引发过敏，减少外出，持续规范用药。,花粉,1.0,北京,2023-04-02T09:42:01
-1,星期六,2023-04-01,#C4A39F,北京,极高,beijing,,花粉,1.0,北京,2023-04-01T09:57:51
